player_id,name,pos,club,now_price,owned_by_%,xG_last4,xA_last4,xGI_last4,npXGI90_last6,shots_box_last4,big_chances_last4,key_passes_last4,mins_last4,expected_minutes_gw+1,proj_points_gw+1,proj_points_next3,injury_status,notes,legend_weight
440,Diogo Dalot Teixeira,DEF,MUN,4.5,1.7,,,,,,,,,75.0,,,,,1.0
399,Ederson Santana de Moraes,GKP,MCI,5.3,1.7,,,,,,,,,,,,,,1.0
218,Ashley Barnes,FWD,BUR,4.4,1.7,,,,,,,,,,,,,,1.0
638,Ki-Jana Hoever,DEF,WOL,4.0,1.6,,,,,,,,,75.0,,,,,1.0
106,Nathan Collins,DEF,BRE,5.0,1.6,,,,,,,,,,,,,,1.0
467,Chido Obi,FWD,MUN,4.4,1.6,,,,,,,,,,,,,,1.0
314,Bernd Leno,GKP,FUL,5.0,1.6,,,,,,,,,,,,,,1.0
625,Niclas Füllkrug,FWD,WHU,5.8,1.6,,,,,,,,,75.0,,,,,1.0
567,Antonín Kinský,GKP,TOT,4.0,1.6,,,,,,,,,,,,,,1.0
473,Lewis Hall,DEF,NEW,5.4,1.5,,,,,,,,,,,,,,1.0
516,Callum Hudson-Odoi,MID,NFO,6.0,1.5,,,,,,,,,,,,,,1.0
228,Malo Gusto,DEF,CHE,5.0,1.5,,,,,,,,,,,,,,1.0
276,Justin Devenny,MID,CRY,4.5,1.5,,,,,,,,,,,,,,1.0
136,Igor Thiago Nascimento Rodrigues,FWD,BRE,6.0,1.5,,,,,,,,,,,,,,1.0
84,Marcus Tavernier,MID,BOU,5.5,1.5,,,,,,,,,,,,,,1.0
386,Alexis Mac Allister,MID,LIV,6.4,1.5,,,,,,,,,100.0,,,,,1.0
135,Yoane Wissa,FWD,NEW,7.5,1.5,,,,,,,,,100.0,,,,,1.0
414,Phil Foden,MID,MCI,8.0,1.5,,,,,,,,,100.0,,,,,1.0
630,Tom King,GKP,EVE,4.0,1.4,,,,,,,,,,,,,,1.0
652,Enso González Medina,MID,WOL,4.4,1.4,,,,,,,,,,,,,,1.0
324,Alex Iwobi,MID,FUL,6.5,1.4,,,,,,,,,,,,,,1.0
683,Omar Alderete,DEF,SUN,4.0,1.4,,,,,,,,,,,,,,1.0
670,Robin Roefs,GKP,SUN,4.5,1.4,,,,,,,,,,,,,,1.0
491,Sandro Tonali,MID,NEW,5.4,1.3,,,,,,,,,100.0,,,,,1.0
543,Simon Adingra,MID,SUN,5.5,1.3,,,,,,,,,,,,,,1.0
337,Raúl Jiménez Rodríguez,FWD,FUL,6.4,1.3,,,,,,,,,,,,,,1.0
40,Tyrone Mings,DEF,AVL,4.5,1.3,,,,,,,,,,,,,,1.0
447,Ayden Heaven,DEF,MUN,4.0,1.2,,,,,,,,,,,,,,1.0
100,Eli Junior Kroupi,FWD,BOU,4.5,1.2,,,,,,,,,,,,,,1.0
641,Alfie Pond,DEF,WOL,4.0,1.2,,,,,,,,,,,,,,1.0
489,Jacob Murphy,MID,NEW,6.3,1.2,,,,,,,,,,,,,,1.0
190,Hjalmar Ekdal,DEF,BUR,4.0,1.2,,,,,,,,,,,,,,1.0
18,Noni Madueke,MID,ARS,7.0,1.2,,,,,,,,,,,,,,1.0
146,Lewis Dunk,DEF,BHA,4.5,1.2,,,,,,,,,,,,,,1.0
59,Amadou Onana,MID,AVL,5.0,1.2,,,,,,,,,50.0,,,,,1.0
485,Anthony Gordon,MID,NEW,7.4,1.1,,,,,,,,,,,,,,1.0
19,Gabriel Martinelli Silva,MID,ARS,6.9,1.1,,,,,,,,,,,,,,1.0
164,Matt O'Riley,MID,BHA,5.5,1.1,,,,,,,,,,,,,,1.0
74,Adrien Truffert,DEF,BOU,4.5,1.1,,,,,,,,,,,,,,1.0
232,Tosin Adarabioyo,DEF,CHE,4.5,1.1,,,,,,,,,100.0,,,,,1.0
68,Will Dennis,GKP,BOU,4.0,1.1,,,,,,,,,,,,,,1.0
409,John Stones,DEF,MCI,5.5,1.1,,,,,,,,,,,,,,1.0
372,Andrew Robertson,DEF,LIV,5.9,1.1,,,,,,,,,,,,,,1.0
487,Harvey Barnes,MID,NEW,6.5,1.1,,,,,,,,,,,,,,1.0
78,Julián Araujo Zúñiga,DEF,BOU,4.0,1.0,,,,,,,,,100.0,,,,,1.0
83,Dango Ouattara,MID,BRE,6.0,1.0,,,,,,,,,100.0,,,,,1.0
151,Jan Paul van Hecke,DEF,BHA,4.5,1.0,,,,,,,,,,,,,,1.0
